ModuleName,Template,template-is-different,type-solvable-difference,type-unsolvable-difference,extra-parameter,missing-parameter,function-missing,function-extra,function-overloading-difference,export-assignment-is-different
client-sessions,module,1,0,0,0,0,0,0,0,0
cloneable-readable,module,1,0,0,0,0,0,0,0,0
clone-deep,module-function,0,10,10,0,0,0,0,1,1
code,module,0,1,2,0,0,1,0,1,0
codecs,module,1,0,0,0,0,0,0,0,0
coinbase,module,0,0,0,0,0,0,0,0,0
coinbase-commerce-node,module,1,0,0,0,0,0,0,0,0
color-hash,module-class,1,0,0,0,0,0,0,0,0
color-diff,module,0,1,1,1,47,5,1,0,0
color-rgba,module-function,0,0,1,0,0,0,0,0,1
colornames,module,1,0,0,0,0,0,0,0,0
columnify,module-function,0,0,2,0,2,0,0,1,1
combine-source-map,module-class,1,0,0,0,0,0,0,0,0
command-exists,module-function,0,1,1,2,0,0,0,0,1
combinations,module-function,0,0,1,0,0,0,0,0,1
command-line-commands,module-function,0,1,1,0,0,0,0,0,1
command-line-usage,module-function,1,0,0,0,0,0,0,0,0
common-prefix,module-function,0,0,1,0,0,0,0,0,1
command-shell-lib,module,1,0,0,0,0,0,0,0,0
common-errors,module,0,0,0,0,0,3,0,0,0
common-ancestor-path,module-function,1,0,0,0,0,0,0,0,0
compare-function,module-function,0,1,2,1,0,0,0,1,1
commonmark-react-renderer,module,1,0,0,0,0,0,0,0,0
compare-func,module-function,0,0,1,1,0,0,0,0,1
compass-vertical-rhythm,module-function,1,0,0,0,0,0,0,0,0
compression,module-function,0,1,0,0,5,0,0,0,1
component-emitter,module,1,0,0,0,0,0,0,0,0
compressible,module-function,0,0,2,0,0,0,0,1,1
compute-argmax,module-function,0,0,1,0,0,0,0,0,1
compute-gcd,module-function,0,0,0,0,13,0,0,1,1
compute-stdev,module-function,0,0,1,0,0,0,0,0,1
compute-quantile,module-function,0,1,1,0,0,0,0,0,1
confidence,module,0,0,0,0,0,0,6,0,0
concat-stream,module-function,0,1,1,1,1,0,0,1,1
configs-overload,module,0,0,0,0,0,1,0,0,0
confit,module,1,0,0,0,0,0,0,0,0
config,module,0,0,0,0,0,0,0,0,0
connect,module-function,0,0,0,0,0,0,0,0,1
connect-ensure-login,module,0,0,0,0,0,2,0,0,0
connect-azuretables,module-function,0,0,0,0,1,0,0,0,1
connect-flash,module,0,0,0,0,0,0,0,0,0
connect-livereload,module-function,1,0,0,0,0,0,0,0,0
connect-mongodb-session,module-function,0,0,0,2,0,0,0,0,1
connect-slashes,module-function,0,1,0,0,0,0,0,0,1
connect-timeout,module,1,0,0,0,0,0,0,0,0
console-ui,module-class,0,0,0,0,5,11,0,0,0
console-log-level,module-function,0,1,1,0,0,0,0,0,1
consul,module,0,0,0,0,0,0,2,0,0
contains-path,module-function,0,0,0,0,2,0,0,0,1
content-type,module,0,1,0,3,0,0,0,0,0
content-range,module,0,2,1,0,0,0,0,1,0
content-disposition,module-function,0,1,0,0,0,0,0,0,1
conventional-changelog-config-spec,module,1,0,0,0,0,0,0,0,0
convert-excel-to-json,module-function,1,0,0,0,0,0,0,0,0
convert-units,module-function,0,1,0,0,0,0,0,0,1
cookie-parser,module-function,0,1,0,0,0,0,0,0,1
cookie_js,module,1,0,0,0,0,0,0,0,0
copy,module-function,0,3,15,2,12,0,0,1,1
cookies,module,1,0,0,0,0,0,0,0,0
copyfiles,module-function,0,3,2,1,0,0,0,1,1
cors,module-function,0,0,1,0,0,0,0,0,1
countries-and-timezones,module,1,0,0,0,0,0,0,0,0
crc,module,1,0,0,0,0,0,0,0,0
create-hash,module-function,0,1,0,0,1,0,0,0,1
create-error,module-function,0,0,0,0,0,0,0,1,1
create-hmac,module-function,1,0,0,0,0,0,0,0,0
creditcardutils,module,1,0,0,0,0,0,0,0,0
cryptiles,module,0,0,0,0,0,3,3,0,0
cryptr,module-class,0,0,0,0,0,0,0,0,0
css-mediaquery,module,0,0,1,0,0,1,1,0,0
css-generator,module,0,0,0,0,1,0,0,0,0
css-declaration-sorter,module,1,0,0,0,0,0,0,0,0
custom-error-generator,module-function,1,0,0,0,0,0,0,0,0
currency-formatter,module,0,0,1,0,7,0,0,0,0
cwise,module-function,0,0,1,1,0,0,0,0,1
cwd,module-function,0,0,2,0,0,0,0,1,1
d,module-function,0,2,2,0,1,0,0,1,1
d3-array,module,0,0,0,0,0,138,3,0,0
d20,module,0,6,2,0,0,0,0,1,0
d3-brush,module,0,0,0,0,0,4,3,0,0
d3-chord,module,0,0,0,0,0,9,3,0,0
d3-axis,module,0,0,0,0,0,4,3,0,0
d3-collection,module,0,0,0,0,0,16,3,0,0
d3-contour,module,0,0,0,0,0,2,3,0,0
d3-dispatch,module,0,0,0,0,0,1,3,0,0
d3-drag,module,1,0,0,0,0,0,0,0,0
dashify,module-function,0,1,0,0,0,0,0,0,1
data-driven,module-function,0,2,0,0,0,0,0,0,1
dateformat,module-function,0,4,2,1,0,0,0,1,1
date-arithmetic,module,0,10,14,10,13,4,2,11,0
db-migrate-pg,module,0,0,0,0,0,0,25,0,0
death,module-function,1,0,0,0,0,0,0,0,0
debounce,module-function,0,0,1,1,1,0,0,0,1
decomment,module-function,0,0,2,1,7,0,0,1,1
deep-equal,module-function,0,3,0,0,6,0,0,1,1
deep-extend,module-function,0,0,0,0,11,0,0,1,1
defaults,module,1,0,0,0,0,0,0,0,0
defer-promise,module-function,1,0,0,0,0,0,0,0,0
denodeify,module-function,0,0,10,0,10,0,0,1,1
depd,module-function,1,0,0,0,0,0,0,0,0
dependency-solver,module,0,0,0,1,0,1,0,0,0
deps-sort,module-function,0,0,0,0,1,0,0,0,1
destroy-on-hwm,module-function,0,1,1,0,0,0,0,0,1
destroy,module-function,0,0,2,0,0,0,0,1,1
diacritics,module,0,0,0,0,0,1,1,0,0
dicer,module-class,0,0,0,0,23,51,4,1,0
diff-match-patch,module,1,0,0,0,0,0,0,0,0
diffie-hellman,module,1,0,0,0,0,0,0,0,0
director,module,1,0,0,0,0,0,0,0,0
dirname-regex,module-function,0,0,0,0,0,0,0,0,1
distributions,module,1,0,0,0,0,0,0,0,0
dirty-chai,module,1,0,0,0,0,0,0,0,0
discontinuous-range,module-class,0,1,1,0,0,6,0,0,0
distributions-poisson-quantile,module-function,0,10,219,189,240,0,0,1,1
docker-modem,module-class,1,0,0,0,0,0,0,0,0
docopt,module,1,0,0,0,0,0,0,0,0
docdown,module-function,0,0,1,19,76,0,0,1,1
domexception,module,0,0,0,0,0,0,1,0,0
dogapi,module,0,0,0,0,0,1,5,0,0
